Activity,Case ID,Country,Cost,Event end,Team,User,Event ID
Receive status update from clearing agent,110553,Germany,405.0334903,24-8-2015 10:13:45,Line management,Kiona Sanchez,1
Send settlement instructions to clearing agent,110565,Germany,534.9090986,10/8/2015 16:43,Auto-processor,System,2
Send settlement instructions to clearing agent,110689,Germany,917.7032735,2/9/2015 13:11,Other,Garrett Richardson,3
Send settlement instructions to clearing agent,110745,Austria,508.6650554,12/8/2015 14:55,Other,Vivian Nielsen,4
Receive status update from clearing agent,110939,Austria,214.9029772,19-8-2015 14:02:58,Other,Kaye Morrow,5
Close outstanding settlement instructions and contractual journal,111155,UK,268.0718004,14-8-2015 17:08:09,Finance,Cullen Combs,6
Close outstanding settlement instructions and contractual journal,111251,UK,88.88934108,24-8-2015 12:01:52,Finance,Cullen Combs,7
Cancel transaction,111397,Germany,477.1131569,18-8-2015 13:00:16,Line management,Autumn Higgins,8
Send settlement instructions to clearing agent,111418,Netherlands,254.7510941,19-8-2015 15:22:02,Other,Emmanuel Durham,9
Receive status update from clearing agent,111459,UK,192.8352611,20-8-2015 09:37:54,Other,Oscar Medina,10
Receive status update from clearing agent,111507,US,861.0548059,27-8-2015 11:58:44,Other,Carol Owen,11
Close outstanding settlement instructions and contractual journal,111516,UK,754.460218,21-8-2015 18:28:46,Finance,Cullen Combs,12
Receive status update from clearing agent,111613,Austria,588.1823333,10/9/2015 15:39,Other,Summer Bruce,13
Close outstanding settlement instructions and contractual journal,111631,UK,589.2509812,24-8-2015 13:26:25,Finance,Cullen Combs,14
Close outstanding settlement instructions and contractual journal,111673,UK,770.1324354,26-8-2015 14:55:44,Finance,Medge Patel,15
Create settlement instructions,111744,UK,160.6586014,21-8-2015 15:30:37,Finance,Medge Patel,16
Send settlement instructions to clearing agent,111788,Austria,641.2775401,4/9/2015 13:34,Other,Indigo Daugherty,17
Receive status update from clearing agent,111854,Austria,235.1866051,27-8-2015 09:10:30,Other,Veronica Spears,18
Receive status update from clearing agent,111855,France,843.8148189,27-8-2015 10:04:26,Other,Mona Sargent,19
Close outstanding settlement instructions and contractual journal,111939,UK,530.117748,26-8-2015 11:28:38,Finance,Cullen Combs,20
Close outstanding settlement instructions and contractual journal,112023,UK,819.04086,27-8-2015 11:39:18,Finance,Cullen Combs,21
Close outstanding settlement instructions and contractual journal,112099,UK,364.1823655,16-9-2015 12:42:34,Finance,Medge Patel,22
Receive status update from clearing agent,112153,UK,875.0386613,31-8-2015 14:56:48,Other,Kylie Guy,23
Create settlement instructions,112252,UK,647.0849648,28-8-2015 15:00:09,Finance,Medge Patel,24
Receive status update from clearing agent,112332,Germany,648.5947742,1/9/2015 8:01,Line management,Griffin Donaldson,25
Close outstanding settlement instructions and contractual journal,112452,UK,986.6145237,2/9/2015 11:19,Finance,Medge Patel,26
Send settlement instructions to clearing agent,112497,Switzerland,118.5156549,2/9/2015 10:59,Purchasing,Adria Franks,27
Receive status update from clearing agent,112522,UK,173.9927387,16-9-2015 13:39:53,Other,Jasmine Snyder,28
Send settlement instructions to clearing agent,112542,Germany,247.3338085,2/9/2015 11:20,Other,Chaim Perez,29
Close outstanding settlement instructions and contractual journal,112551,Netherlands,157.7948975,4/9/2015 19:34,Controlling,Fiona Luna,30
Cancel transaction,112613,Germany,564.7224695,2/9/2015 16:46,Line management,Autumn Higgins,31
